path,target
/about-us,/about/about-this-website/
/accessibility,/legal/accessibility/
/accessibility/website-accessibility-certification.html,/website-accessibility-certification.html
/ag-labor-relations,/departments/134/
/agencies,/departments/
/agenciesall,/departments/list/
/agency,/departments/
/agencysearch,/departments/all/
/Apps/Agencies.aspx,/departments/list/
/archive,https://archive.gov.ca.gov/
/bar,/departments/137/
/careers,/topics/jobs/
/casearch/agencies.aspx,/departments/all/
/casearch/default.aspx,/departments/all/
/chemicals,/departments/251/services/1142/
/cleantruckcheck,/departments/135/services/1199/
/courts,/departments/193/
/ctcac/opportunity.asp,/departments/107/
/default.htm,/
/departments/276/,
/departments/283/,
/departments/283/services/75/,/departments/317/services/1285/
/departments/317/services/1265/,/departments/173/services/1304/
/DL/IID,/departments/220/services/44/
/dlrenewal,/departments/220/services/44/
/documents/WebsiteAccessibilityCert-ca.gov.pdf,/website-accessibility-certification.html
/doingbusiness,/topics/businesses/
/dspace,https://www.fire.ca.gov/dspace
/dwc,https://www.dir.ca.gov/dwc/
/es/,/#googtrans(en|es)
/find-my-court,/departments/193/
/find-my-court.htm,/departments/193/
/find-my-elected-officials,/departments/275/services/58/
/fingerprints,/departments/223/
/food,/departments/173/
/government,/topics/laws-info/
/help/,/support/technical-help/
/home.aspx,/
/home.php,/
/images/2024-11-27-Governor-Letter-to-School-Leaders.pdf,/immigration/documents/2024-11-27-Governor-Letter-to-School-Leaders.pdf
/images/ca.gov-portal-logo-bear.png,
/images/CAgov-logo-footer.svg,
/images/logo-and-bear.png,
/images/photo_contest/3-12-04/3-04_18o-7-lg.jpg,
/images/WebsiteAccessibilityCert-ca.gov.pdf,/website-accessibility-certification.html
/immigrant/resources,/immigration/
/jobs,/topics/jobs/
/js/libs/jquery.js,
/learning/,/topics/education/
/living/,/topics/personal-records/
/lookup-my-representatives/,/departments/275/services/58/
/medical-board,/departments/29/
/myedd,/departments/229/
/opa,/departments/253/
/page/home,/
/pages/default.aspx,/
/pay,/departments/236/services/1166/
/portal/driver-handbooks/,/departments/220/services/1220/
/privacy,/legal/privacy-policy/
/privacy-policy/,/legal/privacy-policy/
/renew,/departments/220/services/44/
/renewnow,/departments/220/services/44/
/sdi/,/departments/229/services/18/
/service/,/services/
/services/get-married/,/departments/176/services/51/
/sitemap/,/about/sitemap/
/state/portal/myca_homepage.jsp,/
/taxrefund,/departments/236/services/33/
/unemployment,/topics/jobs/
/vehicle-repair,/departments/137/
/visiting/,/topics/recreation/
/webpay,/departments/236/services/1166/
/website-feedback/,
/working/,/topics/jobs/
^\/dmv.*$,/topics/dmv-auto/
^\/documents.*$,
^\/drought.*$,
^\/edd.*$,/departments/229/
^\/use.*$,/legal/conditions-of-use/